genome_id	species_id	genome_path	_old_genome_id	ncbi_assembly_name	ncbi_assembly_biosample	comments
Escherichia-coli-GCF_030200975-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200975-1/assembly.fa		GCA_030200975.1	SAMN33450313	From PRJNA938932 GCA_030200975.1;
Escherichia-coli-GCF_030200985-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200985-1/assembly.fa		GCA_030200985.1	SAMN33450309	From PRJNA938932 GCA_030200985.1;
Escherichia-coli-GCF_030201015-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201015-1/assembly.fa		GCA_030201015.1	SAMN33450307	From PRJNA938932 GCA_030201015.1;
Escherichia-coli-GCF_030201025-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201025-1/assembly.fa		GCA_030201025.1	SAMN33450305	From PRJNA938932 GCA_030201025.1;
Escherichia-coli-GCF_030201055-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201055-1/assembly.fa		GCA_030201055.1	SAMN33450303	From PRJNA938932 GCA_030201055.1;
Escherichia-coli-GCF_030201065-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201065-1/assembly.fa		GCA_030201065.1	SAMN33450304	From PRJNA938932 GCA_030201065.1;
Escherichia-coli-GCF_030201095-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201095-1/assembly.fa		GCA_030201095.1	SAMN33450306	From PRJNA938932 GCA_030201095.1;
Escherichia-coli-GCF_030201115-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201115-1/assembly.fa		GCA_030201115.1	SAMN33450302	From PRJNA938932 GCA_030201115.1;
Escherichia-coli-GCF_030201135-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201135-1/assembly.fa		GCA_030201135.1	SAMN33450300	From PRJNA938932 GCA_030201135.1;
Escherichia-coli-GCF_030201145-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201145-1/assembly.fa		GCA_030201145.1	SAMN33450301	From PRJNA938932 GCA_030201145.1;
Escherichia-coli-GCF_030201175-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201175-1/assembly.fa		GCA_030201175.1	SAMN33450298	From PRJNA938932 GCA_030201175.1;
Escherichia-coli-GCF_030201195-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201195-1/assembly.fa		GCA_030201195.1	SAMN33450297	From PRJNA938932 GCA_030201195.1;
Escherichia-coli-GCF_030201215-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201215-1/assembly.fa		GCA_030201215.1	SAMN33450296	From PRJNA938932 GCA_030201215.1;
Escherichia-coli-GCF_030201235-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201235-1/assembly.fa		GCA_030201235.1	SAMN33450295	From PRJNA938932 GCA_030201235.1;
Escherichia-coli-GCF_030201245-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201245-1/assembly.fa		GCA_030201245.1	SAMN33450294	From PRJNA938932 GCA_030201245.1;
Escherichia-coli-GCF_030201275-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201275-1/assembly.fa		GCA_030201275.1	SAMN33450299	From PRJNA938932 GCA_030201275.1;
Escherichia-coli-GCF_030201295-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201295-1/assembly.fa		GCA_030201295.1	SAMN33450292	From PRJNA938932 GCA_030201295.1;
Escherichia-coli-GCF_030201315-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201315-1/assembly.fa		GCA_030201315.1	SAMN33450293	From PRJNA938932 GCA_030201315.1;
Escherichia-coli-GCF_030201325-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201325-1/assembly.fa		GCA_030201325.1	SAMN33450290	From PRJNA938932 GCA_030201325.1;
Escherichia-coli-GCF_030201335-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201335-1/assembly.fa		GCA_030201335.1	SAMN33450291	From PRJNA938932 GCA_030201335.1;
Escherichia-coli-GCF_030201375-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201375-1/assembly.fa		GCA_030201375.1	SAMN33450288	From PRJNA938932 GCA_030201375.1;
Escherichia-coli-GCF_030201385-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201385-1/assembly.fa		GCA_030201385.1	SAMN33450289	From PRJNA938932 GCA_030201385.1;
Escherichia-coli-GCF_030201405-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201405-1/assembly.fa		GCA_030201405.1	SAMN33450287	From PRJNA938932 GCA_030201405.1;
Escherichia-coli-GCF_030201435-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201435-1/assembly.fa		GCA_030201435.1	SAMN33450286	From PRJNA938932 GCA_030201435.1;
Escherichia-coli-GCF_030201455-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201455-1/assembly.fa		GCA_030201455.1	SAMN33450285	From PRJNA938932 GCA_030201455.1;
Escherichia-coli-GCF_030201475-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201475-1/assembly.fa		GCA_030201475.1	SAMN33450284	From PRJNA938932 GCA_030201475.1;
Escherichia-coli-GCF_030201495-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201495-1/assembly.fa		GCA_030201495.1	SAMN33450283	From PRJNA938932 GCA_030201495.1;
Escherichia-coli-GCF_030201505-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201505-1/assembly.fa		GCA_030201505.1	SAMN33450282	From PRJNA938932 GCA_030201505.1;
Escherichia-coli-GCF_030201525-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201525-1/assembly.fa		GCA_030201525.1	SAMN33450281	From PRJNA938932 GCA_030201525.1;
Escherichia-coli-GCF_030201535-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201535-1/assembly.fa		GCA_030201535.1	SAMN33450280	From PRJNA938932 GCA_030201535.1;
Escherichia-coli-GCF_030201575-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201575-1/assembly.fa		GCA_030201575.1	SAMN33450279	From PRJNA938932 GCA_030201575.1;
Escherichia-coli-GCF_030201595-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201595-1/assembly.fa		GCA_030201595.1	SAMN33450278	From PRJNA938932 GCA_030201595.1;
Escherichia-coli-GCF_030201615-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201615-1/assembly.fa		GCA_030201615.1	SAMN33450277	From PRJNA938932 GCA_030201615.1;
Escherichia-coli-GCF_030201635-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201635-1/assembly.fa		GCA_030201635.1	SAMN33450275	From PRJNA938932 GCA_030201635.1;
Escherichia-coli-GCF_030201655-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201655-1/assembly.fa		GCA_030201655.1	SAMN33450276	From PRJNA938932 GCA_030201655.1;
Escherichia-coli-GCF_030201675-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201675-1/assembly.fa		GCA_030201675.1	SAMN33450273	From PRJNA938932 GCA_030201675.1;
Escherichia-coli-GCF_030201695-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201695-1/assembly.fa		GCA_030201695.1	SAMN33450271	From PRJNA938932 GCA_030201695.1;
Escherichia-coli-GCF_030201705-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201705-1/assembly.fa		GCA_030201705.1	SAMN33450272	From PRJNA938932 GCA_030201705.1;
Escherichia-coli-GCF_030201735-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201735-1/assembly.fa		GCA_030201735.1	SAMN33450269	From PRJNA938932 GCA_030201735.1;
Escherichia-coli-GCF_030201745-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201745-1/assembly.fa		GCA_030201745.1	SAMN33450270	From PRJNA938932 GCA_030201745.1;
Escherichia-coli-GCF_030201775-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201775-1/assembly.fa		GCA_030201775.1	SAMN33450267	From PRJNA938932 GCA_030201775.1;
Escherichia-coli-GCF_030201785-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201785-1/assembly.fa		GCA_030201785.1	SAMN33450268	From PRJNA938932 GCA_030201785.1;
Escherichia-coli-GCF_030201815-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201815-1/assembly.fa		GCA_030201815.1	SAMN33450266	From PRJNA938932 GCA_030201815.1;
Escherichia-coli-GCF_030201825-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201825-1/assembly.fa		GCA_030201825.1	SAMN33450264	From PRJNA938932 GCA_030201825.1;
Escherichia-coli-GCF_030201855-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201855-1/assembly.fa		GCA_030201855.1	SAMN33450265	From PRJNA938932 GCA_030201855.1;
Escherichia-coli-GCF_030201875-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201875-1/assembly.fa		GCA_030201875.1	SAMN33450262	From PRJNA938932 GCA_030201875.1;
Escherichia-coli-GCF_030201885-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201885-1/assembly.fa		GCA_030201885.1	SAMN33450263	From PRJNA938932 GCA_030201885.1;
Escherichia-coli-GCF_030201895-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201895-1/assembly.fa		GCA_030201895.1	SAMN33450261	From PRJNA938932 GCA_030201895.1;
Escherichia-coli-GCF_030201935-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201935-1/assembly.fa		GCA_030201935.1	SAMN33450259	From PRJNA938932 GCA_030201935.1;
Escherichia-coli-GCF_030201955-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201955-1/assembly.fa		GCA_030201955.1	SAMN33450260	From PRJNA938932 GCA_030201955.1;
Escherichia-coli-GCF_030201975-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201975-1/assembly.fa		GCA_030201975.1	SAMN33450258	From PRJNA938932 GCA_030201975.1;
Escherichia-coli-GCF_030201995-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030201995-1/assembly.fa		GCA_030201995.1	SAMN33450256	From PRJNA938932 GCA_030201995.1;
Escherichia-coli-GCF_030202015-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202015-1/assembly.fa		GCA_030202015.1	SAMN33450257	From PRJNA938932 GCA_030202015.1;
Escherichia-coli-GCF_030202035-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202035-1/assembly.fa		GCA_030202035.1	SAMN33450255	From PRJNA938932 GCA_030202035.1;
Escherichia-coli-GCF_030202055-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202055-1/assembly.fa		GCA_030202055.1	SAMN33450254	From PRJNA938932 GCA_030202055.1;
Escherichia-coli-GCF_030202075-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202075-1/assembly.fa		GCA_030202075.1	SAMN33450252	From PRJNA938932 GCA_030202075.1;
Escherichia-coli-GCF_030202085-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202085-1/assembly.fa		GCA_030202085.1	SAMN33450253	From PRJNA938932 GCA_030202085.1;
Escherichia-coli-GCF_030202115-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202115-1/assembly.fa		GCA_030202115.1	SAMN33450251	From PRJNA938932 GCA_030202115.1;
Escherichia-coli-GCF_030202135-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202135-1/assembly.fa		GCA_030202135.1	SAMN33450250	From PRJNA938932 GCA_030202135.1;
Escherichia-coli-GCF_030202155-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202155-1/assembly.fa		GCA_030202155.1	SAMN33450249	From PRJNA938932 GCA_030202155.1;
Escherichia-coli-GCF_030202175-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202175-1/assembly.fa		GCA_030202175.1	SAMN33450248	From PRJNA938932 GCA_030202175.1;
Escherichia-coli-GCF_030202195-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202195-1/assembly.fa		GCA_030202195.1	SAMN33450246	From PRJNA938932 GCA_030202195.1;
Escherichia-coli-GCF_030202205-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202205-1/assembly.fa		GCA_030202205.1	SAMN33450247	From PRJNA938932 GCA_030202205.1;
Escherichia-coli-GCF_030202235-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202235-1/assembly.fa		GCA_030202235.1	SAMN33450245	From PRJNA938932 GCA_030202235.1;
Escherichia-coli-GCF_030202255-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202255-1/assembly.fa		GCA_030202255.1	SAMN33450244	From PRJNA938932 GCA_030202255.1;
Escherichia-coli-GCF_030202275-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202275-1/assembly.fa		GCA_030202275.1	SAMN33450241	From PRJNA938932 GCA_030202275.1;
Escherichia-coli-GCF_030202295-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202295-1/assembly.fa		GCA_030202295.1	SAMN33450243	From PRJNA938932 GCA_030202295.1;
Escherichia-coli-GCF_030202305-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202305-1/assembly.fa		GCA_030202305.1	SAMN33450242	From PRJNA938932 GCA_030202305.1;
Escherichia-coli-GCF_030202335-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202335-1/assembly.fa		GCA_030202335.1	SAMN33450240	From PRJNA938932 GCA_030202335.1;
Escherichia-coli-GCF_030202355-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202355-1/assembly.fa		GCA_030202355.1	SAMN33450239	From PRJNA938932 GCA_030202355.1;
Escherichia-coli-GCF_030202375-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202375-1/assembly.fa		GCA_030202375.1	SAMN33450238	From PRJNA938932 GCA_030202375.1;
Escherichia-coli-GCF_030202395-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202395-1/assembly.fa		GCA_030202395.1	SAMN33450236	From PRJNA938932 GCA_030202395.1;
Escherichia-coli-GCF_030202415-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202415-1/assembly.fa		GCA_030202415.1	SAMN33450237	From PRJNA938932 GCA_030202415.1;
Escherichia-coli-GCF_030202425-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202425-1/assembly.fa		GCA_030202425.1	SAMN33450235	From PRJNA938932 GCA_030202425.1;
Escherichia-coli-GCF_030202455-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202455-1/assembly.fa		GCA_030202455.1	SAMN33450216	From PRJNA938932 GCA_030202455.1;
Escherichia-coli-GCF_030202465-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202465-1/assembly.fa		GCA_030202465.1	SAMN33450224	From PRJNA938932 GCA_030202465.1;
Escherichia-coli-GCF_030202495-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202495-1/assembly.fa		GCA_030202495.1	SAMN33450213	From PRJNA938932 GCA_030202495.1;
Escherichia-coli-GCF_030202595-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202595-1/assembly.fa		GCA_030202595.1	SAMN33450197	From PRJNA938932 GCA_030202595.1;
Escherichia-coli-GCF_030202795-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202795-1/assembly.fa		GCA_030202795.1	SAMN33450234	From PRJNA938932 GCA_030202795.1;
Escherichia-coli-GCF_030202815-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202815-1/assembly.fa		GCA_030202815.1	SAMN33450233	From PRJNA938932 GCA_030202815.1;
Escherichia-coli-GCF_030202835-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202835-1/assembly.fa		GCA_030202835.1	SAMN33450232	From PRJNA938932 GCA_030202835.1;
Escherichia-coli-GCF_030202875-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202875-1/assembly.fa		GCA_030202875.1	SAMN33450231	From PRJNA938932 GCA_030202875.1;
Escherichia-coli-GCF_030202895-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202895-1/assembly.fa		GCA_030202895.1	SAMN33450230	From PRJNA938932 GCA_030202895.1;
Escherichia-coli-GCF_030202905-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202905-1/assembly.fa		GCA_030202905.1	SAMN33450229	From PRJNA938932 GCA_030202905.1;
Escherichia-coli-GCF_030202935-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202935-1/assembly.fa		GCA_030202935.1	SAMN33450228	From PRJNA938932 GCA_030202935.1;
Escherichia-coli-GCF_030202945-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202945-1/assembly.fa		GCA_030202945.1	SAMN33450227	From PRJNA938932 GCA_030202945.1;
Escherichia-coli-GCF_030202975-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202975-1/assembly.fa		GCA_030202975.1	SAMN33450226	From PRJNA938932 GCA_030202975.1;
Escherichia-coli-GCF_030202995-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030202995-1/assembly.fa		GCA_030202995.1	SAMN33450225	From PRJNA938932 GCA_030202995.1;
Escherichia-coli-GCF_030203015-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203015-1/assembly.fa		GCA_030203015.1	SAMN33450223	From PRJNA938932 GCA_030203015.1;
Escherichia-coli-GCF_030203035-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203035-1/assembly.fa		GCA_030203035.1	SAMN33450220	From PRJNA938932 GCA_030203035.1;
Escherichia-coli-GCF_030203045-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203045-1/assembly.fa		GCA_030203045.1	SAMN33450222	From PRJNA938932 GCA_030203045.1;
Escherichia-coli-GCF_030203065-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203065-1/assembly.fa		GCA_030203065.1	SAMN33450221	From PRJNA938932 GCA_030203065.1;
Escherichia-coli-GCF_030203085-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203085-1/assembly.fa		GCA_030203085.1	SAMN33450219	From PRJNA938932 GCA_030203085.1;
Escherichia-coli-GCF_030203115-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203115-1/assembly.fa		GCA_030203115.1	SAMN33450218	From PRJNA938932 GCA_030203115.1;
Escherichia-coli-GCF_030203135-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203135-1/assembly.fa		GCA_030203135.1	SAMN33450215	From PRJNA938932 GCA_030203135.1;
Escherichia-coli-GCF_030203145-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203145-1/assembly.fa		GCA_030203145.1	SAMN33450217	From PRJNA938932 GCA_030203145.1;
Escherichia-coli-GCF_030203175-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203175-1/assembly.fa		GCA_030203175.1	SAMN33450211	From PRJNA938932 GCA_030203175.1;
Escherichia-coli-GCF_030203195-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203195-1/assembly.fa		GCA_030203195.1	SAMN33450212	From PRJNA938932 GCA_030203195.1;
Escherichia-coli-GCF_030203215-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203215-1/assembly.fa		GCA_030203215.1	SAMN33450210	From PRJNA938932 GCA_030203215.1;
Escherichia-coli-GCF_030203235-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203235-1/assembly.fa		GCA_030203235.1	SAMN33450207	From PRJNA938932 GCA_030203235.1;
Escherichia-coli-GCF_030203255-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203255-1/assembly.fa		GCA_030203255.1	SAMN33450208	From PRJNA938932 GCA_030203255.1;
Escherichia-coli-GCF_030203275-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203275-1/assembly.fa		GCA_030203275.1	SAMN33450209	From PRJNA938932 GCA_030203275.1;
Escherichia-coli-GCF_030203295-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203295-1/assembly.fa		GCA_030203295.1	SAMN33450214	From PRJNA938932 GCA_030203295.1;
Escherichia-coli-GCF_030203315-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203315-1/assembly.fa		GCA_030203315.1	SAMN33450206	From PRJNA938932 GCA_030203315.1;
Escherichia-coli-GCF_030203335-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203335-1/assembly.fa		GCA_030203335.1	SAMN33450205	From PRJNA938932 GCA_030203335.1;
Escherichia-coli-GCF_030203355-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203355-1/assembly.fa		GCA_030203355.1	SAMN33450204	From PRJNA938932 GCA_030203355.1;
Escherichia-coli-GCF_030203375-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203375-1/assembly.fa		GCA_030203375.1	SAMN33450202	From PRJNA938932 GCA_030203375.1;
Escherichia-coli-GCF_030203385-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203385-1/assembly.fa		GCA_030203385.1	SAMN33450203	From PRJNA938932 GCA_030203385.1;
Escherichia-coli-GCF_030203415-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203415-1/assembly.fa		GCA_030203415.1	SAMN33450201	From PRJNA938932 GCA_030203415.1;
Escherichia-coli-GCF_030203435-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203435-1/assembly.fa		GCA_030203435.1	SAMN33450200	From PRJNA938932 GCA_030203435.1;
Escherichia-coli-GCF_030203455-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203455-1/assembly.fa		GCA_030203455.1	SAMN33450196	From PRJNA938932 GCA_030203455.1;
Escherichia-coli-GCF_030203465-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203465-1/assembly.fa		GCA_030203465.1	SAMN33450199	From PRJNA938932 GCA_030203465.1;
Escherichia-coli-GCF_030203495-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203495-1/assembly.fa		GCA_030203495.1	SAMN33450198	From PRJNA938932 GCA_030203495.1;
Escherichia-coli-GCF_030203515-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203515-1/assembly.fa		GCA_030203515.1	SAMN33450195	From PRJNA938932 GCA_030203515.1;
Escherichia-coli-GCF_030203525-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203525-1/assembly.fa		GCA_030203525.1	SAMN33450194	From PRJNA938932 GCA_030203525.1;
Escherichia-coli-GCF_030203555-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203555-1/assembly.fa		GCA_030203555.1	SAMN33450192	From PRJNA938932 GCA_030203555.1;
Escherichia-coli-GCF_030203575-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203575-1/assembly.fa		GCA_030203575.1	SAMN33450193	From PRJNA938932 GCA_030203575.1;
Escherichia-coli-GCF_030203585-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203585-1/assembly.fa		GCA_030203585.1	SAMN33450191	From PRJNA938932 GCA_030203585.1;
Escherichia-coli-GCF_030203615-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203615-1/assembly.fa		GCA_030203615.1	SAMN33450189	From PRJNA938932 GCA_030203615.1;
Escherichia-coli-GCF_030203635-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203635-1/assembly.fa		GCA_030203635.1	SAMN33450190	From PRJNA938932 GCA_030203635.1;
Escherichia-coli-GCF_030203655-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203655-1/assembly.fa		GCA_030203655.1	SAMN33450188	From PRJNA938932 GCA_030203655.1;
Escherichia-coli-GCF_030203675-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203675-1/assembly.fa		GCA_030203675.1	SAMN33450186	From PRJNA938932 GCA_030203675.1;
Escherichia-coli-GCF_030203685-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203685-1/assembly.fa		GCA_030203685.1	SAMN33450187	From PRJNA938932 GCA_030203685.1;
Escherichia-coli-GCF_030203715-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203715-1/assembly.fa		GCA_030203715.1	SAMN33450185	From PRJNA938932 GCA_030203715.1;
Escherichia-coli-GCF_030203735-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203735-1/assembly.fa		GCA_030203735.1	SAMN33450184	From PRJNA938932 GCA_030203735.1;
Escherichia-coli-GCF_030203755-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203755-1/assembly.fa		GCA_030203755.1	SAMN33450183	From PRJNA938932 GCA_030203755.1;
Escherichia-coli-GCF_030203775-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203775-1/assembly.fa		GCA_030203775.1	SAMN33450182	From PRJNA938932 GCA_030203775.1;
Escherichia-coli-GCF_030203785-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203785-1/assembly.fa		GCA_030203785.1	SAMN33450181	From PRJNA938932 GCA_030203785.1;
Escherichia-coli-GCF_030203795-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203795-1/assembly.fa		GCA_030203795.1	SAMN33450180	From PRJNA938932 GCA_030203795.1;
Escherichia-coli-GCF_030203835-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203835-1/assembly.fa		GCA_030203835.1	SAMN33450179	From PRJNA938932 GCA_030203835.1;
Escherichia-coli-GCF_030203855-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203855-1/assembly.fa		GCA_030203855.1	SAMN33450178	From PRJNA938932 GCA_030203855.1;
Escherichia-coli-GCF_030203875-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203875-1/assembly.fa		GCA_030203875.1	SAMN33450176	From PRJNA938932 GCA_030203875.1;
Escherichia-coli-GCF_030203895-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203895-1/assembly.fa		GCA_030203895.1	SAMN33450177	From PRJNA938932 GCA_030203895.1;
Escherichia-coli-GCF_030203915-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203915-1/assembly.fa		GCA_030203915.1	SAMN33450174	From PRJNA938932 GCA_030203915.1;
Escherichia-coli-GCF_030203925-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203925-1/assembly.fa		GCA_030203925.1	SAMN33450175	From PRJNA938932 GCA_030203925.1;
Escherichia-coli-GCF_030203945-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203945-1/assembly.fa		GCA_030203945.1	SAMN33450173	From PRJNA938932 GCA_030203945.1;
Escherichia-coli-GCF_030203975-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203975-1/assembly.fa		GCA_030203975.1	SAMN33450172	From PRJNA938932 GCA_030203975.1;
Escherichia-coli-GCF_030203995-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030203995-1/assembly.fa		GCA_030203995.1	SAMN33450169	From PRJNA938932 GCA_030203995.1;
Escherichia-coli-GCF_030204005-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030204005-1/assembly.fa		GCA_030204005.1	SAMN33450171	From PRJNA938932 GCA_030204005.1;
Escherichia-coli-GCF_030204015-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030204015-1/assembly.fa		GCA_030204015.1	SAMN33450170	From PRJNA938932 GCA_030204015.1;
Escherichia-coli-GCF_030204055-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030204055-1/assembly.fa		GCA_030204055.1	SAMN33450168	From PRJNA938932 GCA_030204055.1;
Escherichia-coli-GCF_030204075-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030204075-1/assembly.fa		GCA_030204075.1	SAMN33450167	From PRJNA938932 GCA_030204075.1;
